issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.",Claude access lost,Claude,"I understand you've lost access to your Claude team workspace and need it restored urgently.

This type of request, involving the restoration of workspace access after an admin removal, requires specific actions that can only be performed by your organization's administrators or a specialized team with the necessary permissions.

In the meantime, the quickest way to regain access is often by reaching out to an IT admin or owner within your organization. They have the ability to reinstate your seat directly.

We've escalated your ticket to our specialized team who will review your situation and follow up with you as soon as possible. Your issue is important to us and will be prioritized.",general_support,escalated,product_issue,"Escalated with confidence=High. Reason: The user is requesting restoration of workspace access, which is an action that only an admin or owner of their organization can perform, and the support agent cannot directly fulfill this request."
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"I understand your concern regarding your recent HackerRank test score and your request for a review of your answers and reconsideration for the next round. It's completely understandable to want clarity on your performance.

This particular request requires the attention of a specialized team who can best address your situation.

While they review your case, please be aware that HackerRank does not participate in the hiring decisions of companies, nor are we authorized to modify test results or influence the hiring process. For any specific feedback on your test performance, a review of your answers, or inquiries about your application's status, the most effective step is to directly contact the recruiter or hiring team at the company you applied to. They are the primary point of contact for all hiring-related matters.

Your issue has been escalated, and the specialized team will prioritize its review and get back to you with further information as soon as they can.",screen,escalated,invalid,Escalated with confidence=High. Reason: Ticket matches a category that requires a specialized team.
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.",Help,Visa,"I understand you're experiencing a frustrating situation with receiving the wrong product and the merchant not responding to your emails.

This type of issue, especially concerning a purchase dispute and merchant conduct, requires the expertise of a specialized team. We've escalated your ticket to them for a thorough review.

In the meantime, you can take immediate action by reporting the purchase issue directly through Visa's online form here: [https://usa.visa.com/Forms/visa-rules.html](https://usa.visa.com/Forms/visa-rules.html).

Please be assured that your case has been escalated and will be prioritized by this team, who will review the details and determine the best course of action.",fraud_disputes,escalated,product_issue,Escalated with confidence=High. Reason: Ticket matches a category that requires a specialized team.
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"I understand your frustration regarding your mock interview stopping unexpectedly and your request for a refund.

This type of issue, especially concerning unexpected interruptions during a mock interview and subsequent refund requests, requires the expertise of our specialized support team. We are escalating your ticket to them immediately.

While our specialized team reviews your case, please note that for refund requests, you can also directly email help@hackerrank.com, and our support team will review your request. Additionally, you can view your previous mock interview attempts by navigating to the 'Prepare' tab, finding the 'Coding' card under 'AI-powered Mock Interviews', and then clicking 'Take Interview' to access 'View Previous Interviews'.

Please be assured that your issue will be prioritized, and our specialized team will be in touch to assist you further.",interview,escalated,product_issue,Escalated with confidence=High. Reason: Ticket matches a category that requires a specialized team.
I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,None,"Thank you for reaching out about the payment issue you're experiencing with order ID: cs_live_abcdefgh. I understand this is important, and I appreciate you bringing it to our attention.

To ensure your payment concern is addressed with the expertise it requires, I'm escalating your ticket to our specialized billing team. They have the necessary tools and knowledge to investigate and resolve payment-related issues effectively.

In the meantime, you might find it helpful to:
*   Check your account's billing settings to confirm your recent payment status and ensure your payment method and billing details are up to date.
*   If possible, try using an alternative payment method or attempting the transaction again later, as some temporary technical issues can resolve on their own.
*   Verify with your bank that there are sufficient funds available for the payment.

Please rest assured that our specialized team will prioritize your issue and will be in touch as soon as possible with an update or further questions.",billing,escalated,product_issue,Escalated with confidence=High. Reason: Ticket matches a category that requires a specialized team.
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"I understand you're looking for assistance with your company's infosec process and filling out the necessary forms to get started with HackerRank for hiring.

This type of request involves detailed security information and requires the expertise of our specialized security team. Therefore, I've escalated your request to them.

They will review your needs and reach out to you directly to provide the necessary guidance and support. Your issue is important to us and will be prioritized.",general_support,escalated,product_issue,"Escalated with confidence=High. Reason: The retrieved context does not contain information about HackerRank's infosec process or how they assist customers with filling out security forms, and this request likely involves sensitive company information and actions a support agent cannot perform."
i can not able to see apply tab,"I need to practice, submissions not working",HackerRank,"I understand you're unable to see the 'apply' tab and are experiencing issues with submissions.

This type of issue, involving a missing interface element and problems with submissions, requires a closer look from our specialized technical team.

In the meantime, you might want to ensure your internet connection is stable, as this can sometimes affect how pages load and submissions are processed.

Rest assured, your issue has been escalated to the appropriate team, and they will review it thoroughly and contact you with an update as soon as possible. We appreciate your patience.",screen,escalated,bug,Escalated with confidence=High. Reason: Ticket matches a category that requires a specialized team.
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"Error processing ticket: Error calling model 'gemini-2.5-flash' (RESOURCE_EXHAUSTED): 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 36.901064196s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '36s'}]}}",unknown,escalated,invalid,"Processing error: Error calling model 'gemini-2.5-flash' (RESOURCE_EXHAUSTED): 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 36.901064196s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '36s'}]}}"
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"Error processing ticket: Error calling model 'gemini-2.5-flash' (RESOURCE_EXHAUSTED): 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 1.264460748s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'model': 'gemini-2.5-flash', 'location': 'global'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '1s'}]}}",unknown,escalated,invalid,"Processing error: Error calling model 'gemini-2.5-flash' (RESOURCE_EXHAUSTED): 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 1.264460748s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'model': 'gemini-2.5-flash', 'location': 'global'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '1s'}]}}"
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"Error processing ticket: Error calling model 'gemini-2.5-flash' (RESOURCE_EXHAUSTED): 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 24.643629941s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '24s'}]}}",unknown,escalated,invalid,"Processing error: Error calling model 'gemini-2.5-flash' (RESOURCE_EXHAUSTED): 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 24.643629941s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '24s'}]}}"
